checkpoint,timestamp,step,metric,value,n_samples,n_tokens,phenomenon,condition
checkpoint-0,2025-08-10T00:26:58.317908,0,perplexity,59693.32275220021,50.0,700.0,,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_overall,0.5370149253731343,3350.0,,,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_anaphor_agreement,0.6,,,anaphor_agreement,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_argument_structure,0.5114285714285715,,,argument_structure,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_binding,0.5142857142857142,,,binding,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_control_raising,0.516,,,control_raising,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_determiner_noun_agreement,0.5175,,,determiner_noun_agreement,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_ellipsis,0.44,,,ellipsis,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_filler_gap_dependency,0.5171428571428571,,,filler_gap_dependency,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_irregular_forms,0.36,,,irregular_forms,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_island_effects,0.51,,,island_effects,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_npi_licensing,0.8085714285714286,,,npi_licensing,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_quantifiers,0.585,,,quantifiers,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_s-selection,0.39,,,s-selection,
checkpoint-0,2025-08-10T00:26:58.317908,0,blimp_subject_verb_agreement,0.4666666666666667,,,subject_verb_agreement,
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_overt_pref,0.46794871794871795,156.0,,,
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_surprisal_diff,-0.026785045453484424,156.0,,,
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_1a_3rdSG_overt_pref,0.4166666666666667,,,,1a_3rdSG
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_1b_3rdPL_overt_pref,0.4166666666666667,,,,1b_3rdPL
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_2a_2ndSG_overt_pref,0.4166666666666667,,,,2a_2ndSG
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_2b_2ndPL_overt_pref,0.5,,,,2b_2ndPL
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_3a_1stSg_overt_pref,0.6666666666666666,,,,3a_1stSg
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_3b_1stPL_overt_pref,0.4166666666666667,,,,3b_1stPL
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_4a_subject_control_overt_pref,0.4166666666666667,,,,4a_subject_control
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_4b_object_control_overt_pref,0.6666666666666666,,,,4b_object_control
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_5a_expletive_seems_overt_pref,0.5833333333333334,,,,5a_expletive_seems
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_5b_expletive_be_overt_pref,0.5,,,,5b_expletive_be
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_6_long_distance_binding_overt_pref,0.25,,,,6_long_distance_binding
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.25,,,,7a_conjunction_no_topic_shift
checkpoint-0,2025-08-10T00:26:58.317908,0,null_subject_7b_conjunction_topic_shift_overt_pref,0.5833333333333334,,,,7b_conjunction_topic_shift
